Thermistor 1, Thermistor 2, Thermistor 3, Thermistor 4, Thermistor 5, Thermistor 6, Thermistor 7, Thermistor 8
55.47,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.56,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.58,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.56,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.58,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.58,53.56,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.56,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.58,53.56,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.56,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.56,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.35,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.23,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.23,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.23,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.23,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.23,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.23,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.23,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.23,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.23,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.23,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.58,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.23,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.23,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.23,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.58,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.23,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.23,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.58,53.23,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.58,53.23,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.23,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.58,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.58,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.23,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.58,53.23,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.58,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.58,53.23,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.58,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.58,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.58,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.58,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.58,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.58,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.58,53.23,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.58,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.58,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.58,53.23,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
